epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.625468,0.391333,2.001701,0.4012,,
2,1.117454,0.595178,1.170587,0.6026,,
3,0.91528,0.672244,1.269472,0.602,,
4,0.77824,0.725667,0.833889,0.7078,,
5,0.695613,0.757356,0.908384,0.693,,
6,0.650152,0.774133,0.924629,0.7034,,
7,0.598515,0.792756,0.711749,0.7606,,
8,0.558837,0.807222,0.850215,0.7268,,
9,0.531995,0.8156,0.616612,0.7862,,
10,0.509768,0.824222,0.578938,0.8086,,
11,0.484539,0.834422,0.634243,0.7842,,
12,0.470339,0.837978,0.672794,0.7796,,
13,0.458344,0.840867,0.568264,0.8086,,
14,0.440644,0.847533,0.651185,0.7918,,
15,0.426372,0.852156,0.712485,0.7776,,
16,0.419822,0.855422,0.750902,0.7668,,
17,0.410259,0.859111,0.47491,0.838,,
18,0.395553,0.863356,0.5106,0.833,,
19,0.387141,0.864889,0.600887,0.8076,,
20,0.37486,0.8704,0.551703,0.8104,,
21,0.374977,0.868511,0.538929,0.8204,,
22,0.362662,0.873911,0.543815,0.816,,
23,0.357735,0.876422,0.482146,0.845,,
24,0.352919,0.8788,0.477073,0.8482,,
25,0.344789,0.879222,0.703719,0.7914,,
26,0.341188,0.880289,0.515941,0.8248,,
27,0.331747,0.884889,0.436164,0.8574,,
28,0.324252,0.887644,0.544483,0.821,,
29,0.323884,0.887778,0.56206,0.8242,,
30,0.318391,0.888711,0.450532,0.8542,,
31,0.316695,0.890133,0.503428,0.8402,,
32,0.311103,0.890822,0.446266,0.8532,,
33,0.308727,0.892933,0.546585,0.8302,,
34,0.305555,0.894044,0.495081,0.844,,
35,0.300592,0.895444,0.507153,0.8368,,
36,0.297656,0.897511,0.461719,0.8448,,
37,0.292763,0.897578,0.44026,0.8558,,
38,0.290801,0.899956,0.437406,0.856,,
39,0.290401,0.899467,0.456549,0.8538,,
40,0.286373,0.899356,0.433883,0.859,,
41,0.191655,0.934244,0.302808,0.8958,,
42,0.162518,0.942889,0.299595,0.9014,,
43,0.154529,0.947267,0.309647,0.895,,
44,0.146678,0.9494,0.32424,0.8954,,
45,0.141881,0.951111,0.309065,0.9002,,
46,0.134239,0.9544,0.317163,0.8978,,
47,0.132775,0.953489,0.334753,0.8948,,
48,0.124999,0.956156,0.336805,0.8936,,
49,0.122742,0.9568,0.324246,0.8974,,
50,0.120372,0.958333,0.339394,0.9012,,
51,0.119109,0.958378,0.349265,0.8948,,
52,0.11639,0.959244,0.343253,0.9024,,
53,0.111491,0.960689,0.343371,0.8974,,
54,0.108903,0.960933,0.344381,0.9018,,
55,0.113345,0.960467,0.347314,0.8994,,
56,0.108199,0.962133,0.353117,0.8986,,
57,0.104341,0.963822,0.36503,0.895,,
58,0.104944,0.962978,0.377486,0.8948,,
59,0.104178,0.963622,0.378757,0.8938,,
60,0.105209,0.962578,0.366728,0.897,,
61,0.102101,0.964444,0.392834,0.8858,,
62,0.1009,0.9641,0.3633,0.9012,,
