epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.95645,0.230444,1.698643,0.3258,,
2,1.450513,0.450378,1.212796,0.5516,,
3,1.079734,0.613311,0.936145,0.6686,,
4,0.886104,0.6892,0.811258,0.7158,,
5,0.774642,0.731578,0.813785,0.7242,,
6,0.687126,0.766,0.736039,0.745,,
7,0.621622,0.7892,0.594178,0.796,,
8,0.5687,0.808844,0.579794,0.7974,,
9,0.523669,0.823067,0.564704,0.8094,,
10,0.488975,0.836022,0.627798,0.7862,,
11,0.455839,0.844978,0.494039,0.828,,
12,0.424038,0.857178,0.472541,0.8406,,
13,0.400634,0.864111,0.545472,0.821,,
14,0.375247,0.871867,0.533246,0.8318,,
15,0.35998,0.879022,0.45647,0.8486,,
16,0.341298,0.8846,0.452312,0.8494,,
17,0.32158,0.891289,0.486102,0.8396,,
18,0.309596,0.893933,0.389132,0.8658,,
19,0.291303,0.900911,0.443932,0.8546,,
20,0.28267,0.905467,0.51012,0.8404,,
21,0.269307,0.909089,0.446236,0.8538,,
22,0.258798,0.912444,0.564474,0.8362,,
23,0.251017,0.9142,0.37081,0.8748,,
24,0.2369,0.921578,0.40181,0.871,,
25,0.224379,0.924489,0.472487,0.8648,,
26,0.223235,0.924644,0.424442,0.8578,,
27,0.207587,0.929578,0.364195,0.884,,
28,0.201638,0.931733,0.446387,0.8626,,
29,0.194329,0.933956,0.411947,0.8694,,
30,0.184375,0.938156,0.433181,0.8718,,
31,0.188205,0.936333,0.417462,0.87,,
32,0.179624,0.938933,0.377069,0.8784,,
33,0.175014,0.940622,0.413034,0.8744,,
34,0.166668,0.943667,0.405775,0.8784,,
35,0.162257,0.944978,0.451837,0.8632,,
36,0.154361,0.948156,0.387348,0.8772,,
37,0.155527,0.946711,0.398047,0.8814,,
38,0.14948,0.949689,0.353216,0.8882,,
39,0.141458,0.952111,0.386481,0.8826,,
40,0.142238,0.9514,0.397396,0.883,,
41,0.07632,0.9758,0.287851,0.918,,
42,0.057811,0.980889,0.289556,0.9162,,
43,0.044751,0.9856,0.300825,0.9162,,
44,0.041173,0.986667,0.306626,0.9178,,
45,0.037294,0.9882,0.311785,0.916,,
46,0.032749,0.989578,0.318321,0.9176,,
47,0.031704,0.989556,0.315214,0.9164,,
48,0.029299,0.990489,0.326224,0.9166,,
49,0.029576,0.990022,0.336533,0.9192,,
50,0.025057,0.9916,0.328894,0.9186,,
51,0.024696,0.991844,0.334789,0.9176,,
52,0.024462,0.992133,0.343508,0.9136,,
53,0.020424,0.993756,0.342066,0.9176,,
54,0.020455,0.993467,0.349803,0.9198,,
55,0.021408,0.993222,0.339866,0.9196,,
56,0.018814,0.993889,0.347301,0.9184,,
57,0.018724,0.9942,0.357072,0.9162,,
58,0.016705,0.994711,0.36494,0.918,,
59,0.015874,0.994889,0.365593,0.9182,,
60,0.015211,0.995133,0.359971,0.9194,,
61,0.014333,0.995533,0.367312,0.9188,,
62,0.013138,0.996089,0.379111,0.9172,,
63,0.014389,0.9952,0.375456,0.9188,,
64,0.014658,0.994978,0.378315,0.9196,,
65,0.013052,0.995844,0.379214,0.9162,,
66,0.012424,0.9962,0.378408,0.9188,,
67,0.01214,0.995889,0.379581,0.9196,,
68,0.012591,0.995844,0.393685,0.916,,
69,0.011182,0.996533,0.375843,0.922,,
70,0.012003,0.996089,0.376656,0.9212,,
71,0.010755,0.996489,0.373651,0.9238,,
72,0.01014,0.996556,0.384534,0.9218,,
73,0.009648,0.997089,0.387079,0.9228,,
74,0.009534,0.997022,0.390156,0.9202,,
75,0.008975,0.997222,0.379948,0.9186,,
76,0.010161,0.996756,0.391444,0.917,,
77,0.009214,0.997222,0.390875,0.9188,,
78,0.009705,0.996933,0.392894,0.9166,,
79,0.00792,0.997422,0.395163,0.9198,,
80,0.007922,0.997511,0.402494,0.9212,,
81,0.007794,0.997378,0.395367,0.9216,,
82,0.006357,0.998044,0.390662,0.9212,,
83,0.006324,0.998067,0.385367,0.9228,,
84,0.006032,0.998222,0.386104,0.9234,,
85,0.006717,0.998022,0.384198,0.9234,,
86,0.00567,0.998422,0.382712,0.9246,,
87,0.005939,0.998133,0.383516,0.922,,
88,0.005976,0.998378,0.381416,0.9242,,
89,0.006041,0.998178,0.39341,0.9214,,
90,0.005409,0.998244,0.382445,0.9234,,
91,0.0057,0.9981,0.3877,0.9228,,
