author,train_sample_count,raw_weight,clipped_weight,sample_weight
白居易,2709,0.01921301,0.05000000,0.38918904
杜甫,1380,0.02691910,0.05000000,0.38918904
李白,1069,0.03058519,0.05000000,0.38918904
元稹,864,0.03402069,0.05000000,0.38918904
劉禹錫,754,0.03641785,0.05000000,0.38918904
齊己,677,0.03843312,0.05000000,0.38918904
不詳,641,0.03949763,0.05000000,0.38918904
貫休,640,0.03952847,0.05000000,0.38918904
易靜,587,0.04127442,0.05000000,0.38918904
陸龜蒙,575,0.04170288,0.05000000,0.38918904
無名氏,552,0.04256283,0.05000000,0.38918904
李商隱,535,0.04323377,0.05000000,0.38918904
韓愈,503,0.04458780,0.05000000,0.38918904
杜牧,488,0.04526787,0.05000000,0.38918904
韋應物,462,0.04652421,0.05000000,0.38918904
王建,460,0.04662524,0.05000000,0.38918904
張祜,460,0.04662524,0.05000000,0.38918904
許渾,447,0.04729838,0.05000000,0.38918904
劉長卿,445,0.04740455,0.05000000,0.38918904
皎然,436,0.04789131,0.05000000,0.38918904
姚合,432,0.04811252,0.05000000,0.38918904
孟郊,431,0.04816831,0.05000000,0.38918904
錢起,430,0.04822428,0.05000000,0.38918904
羅隱,416,0.04902903,0.05000000,0.38918904
皮日休,404,0.04975186,0.05000000,0.38918904
張籍,380,0.05129892,0.05129892,0.39929953
岑參,375,0.05163978,0.05163978,0.40195272
溫庭筠,360,0.05270463,0.05270463,0.41024127
賈島,341,0.05415304,0.05415304,0.42151537
張說,333,0.05479966,0.05479966,0.42654856
韋莊,330,0.05504819,0.05504819,0.42848303
王維,321,0.05581456,0.05581456,0.43444828
司空圖,321,0.05581456,0.05581456,0.43444828
盧綸,301,0.05763904,0.05763904,0.44864967
權德輿,295,0.05822225,0.05822225,0.45318924
呂巖,288,0.05892557,0.05892557,0.45866369
方干,284,0.05933908,0.05933908,0.46188242
杜荀鶴,283,0.05944383,0.05944383,0.46269775
王梵志,281,0.05965500,0.05965500,0.46434144
韓偓,280,0.05976143,0.05976143,0.46516988
鄭谷,270,0.06085806,0.06085806,0.47370582
薛能,269,0.06097108,0.06097108,0.47458550
寒山,260,0.06201737,0.06201737,0.48272960
吳融,259,0.06213698,0.06213698,0.48366061
戴叔倫,258,0.06225728,0.06225728,0.48459703
李中,257,0.06237829,0.06237829,0.48553891
李賀,255,0.06262243,0.06262243,0.48743927
高適,248,0.06350006,0.06350006,0.49427058
徐鉉,248,0.06350006,0.06350006,0.49427058
李端,237,0.06495698,0.06495698,0.50561090
顧況,235,0.06523281,0.06523281,0.50775788
孟浩然,221,0.06726728,0.06726728,0.52359376
趙嘏,221,0.06726728,0.06726728,0.52359376
李羣玉,220,0.06741999,0.06741999,0.52478240
徐夤,215,0.06819943,0.06819943,0.53084945
宋之問,211,0.06884284,0.06884284,0.53585757
儲光羲,209,0.06917145,0.06917145,0.53841538
皇甫冉,203,0.07018624,0.07018624,0.54631432
柳宗元,199,0.07088812,0.07088812,0.55177760
張九齡,189,0.07273930,0.07273930,0.56618675
佚名,188,0.07293250,0.07293250,0.56769057
李嶠,187,0.07312724,0.07312724,0.56920643
王昌齡,184,0.07372098,0.07372098,0.57382794
唐彥謙,177,0.07516460,0.07516460,0.58506480
